,Unnamed: 0,Unnamed: 0.1,RTT,Timestamp,New-RTT,Old-RTT
0,0,0,0.001,0,0.002,0.001
1,1,1,0.001,5,0.002,0.001
2,2,2,0.001,10,0.002,0.001
3,3,3,0.001,15,0.002,0.001
4,4,4,0.001,20,0.002,0.001
5,5,5,0.001,25,0.002,0.001
6,6,6,0.001,30,0.002,0.001
7,7,7,0.001,35,0.002,0.001
8,8,8,0.001,40,0.002,0.001
9,9,9,0.001,45,0.016,0.015
10,10,10,0.001,50,0.002,0.001
11,11,11,0.008,55,0.025,0.017
12,12,12,0.001,60,0.005,0.004
13,13,13,0.001,65,0.002,0.001
14,14,14,0.01,70,0.011,0.001
15,15,15,0.001,75,0.006,0.005
16,16,16,0.001,80,0.002,0.001
17,17,17,0.001,85,0.009000000000000001,0.008
18,18,18,0.002,90,0.007,0.005
19,19,19,0.001,95,0.002,0.001
20,20,20,0.001,100,0.002,0.001
21,21,21,0.003,105,0.004,0.001
22,22,22,0.001,110,0.004,0.003
23,23,23,0.001,115,0.003,0.002
24,24,24,0.001,120,0.002,0.001
25,25,25,0.002,125,0.003,0.001
26,26,26,0.001,130,0.005,0.004
27,27,27,0.001,135,0.002,0.001
28,28,28,0.001,140,0.003,0.002
29,29,29,0.001,145,0.002,0.001
30,30,30,0.001,150,0.002,0.001
31,31,31,0.001,155,0.010000000000000002,0.009000000000000001
32,32,32,0.001,160,0.002,0.001
33,33,33,0.001,165,0.002,0.001
34,34,34,0.001,170,0.002,0.001
35,35,35,0.001,175,0.006,0.005
36,36,36,0.001,180,0.007,0.006
37,37,37,0.004,185,0.005,0.001
38,38,38,0.002,190,0.004,0.002
39,39,39,0.001,195,0.002,0.001
40,40,40,0.001,200,0.002,0.001
41,41,41,0.001,205,0.005,0.004
42,42,42,0.001,210,0.004,0.003
43,43,43,0.001,215,0.002,0.001
44,44,44,0.001,220,0.002,0.001
45,45,45,0.001,225,0.017,0.016
46,46,46,0.001,230,0.002,0.001
47,47,47,0.001,235,0.002,0.001
48,48,48,0.002,240,0.013,0.011
49,49,49,0.001,245,0.002,0.001
50,50,50,0.001,250,0.002,0.001
