,Unnamed: 0,RTT,Timestamp,New-RTT,Old-RTT
0,0,0.001,0,0.002,0.001
1,1,0.001,5,0.002,0.001
2,2,0.001,10,0.002,0.001
3,3,0.001,15,0.002,0.001
4,4,0.001,20,0.002,0.001
5,5,0.001,25,0.002,0.001
6,6,0.001,30,0.002,0.001
7,7,0.001,35,0.002,0.001
8,8,0.001,40,0.002,0.001
9,9,0.001,45,0.017,0.016
10,10,0.001,50,0.002,0.001
11,11,0.001,55,0.006,0.005
12,12,0.001,60,0.012,0.011
13,13,0.001,65,0.003,0.002
14,14,0.001,70,0.013000000000000001,0.012
15,15,0.002,75,0.004,0.002
16,16,0.001,80,0.005,0.004
17,17,0.003,85,0.007,0.004
18,18,0.001,90,0.008,0.006999999999999999
19,19,0.002,95,0.009,0.006999999999999999
20,20,0.001,100,0.002,0.001
21,21,0.001,105,0.002,0.001
22,22,0.016,110,0.018000000000000002,0.002
23,23,0.001,115,0.007,0.006
24,24,0.017,120,0.027000000000000003,0.01
25,25,0.001,125,0.013000000000000001,0.012
26,26,0.001,130,0.013999999999999999,0.013
27,27,0.001,135,0.002,0.001
28,28,0.002,140,0.003,0.001
29,29,0.001,145,0.002,0.001
30,30,0.001,150,0.003,0.002
31,31,0.001,155,0.006,0.005
32,32,0.001,160,0.003,0.002
33,33,0.001,165,0.002,0.001
34,34,0.001,170,0.022000000000000002,0.021
35,35,0.001,175,0.006,0.005
36,36,0.001,180,0.008,0.006999999999999999
37,37,0.001,185,0.004,0.003
38,38,0.004,190,0.007,0.003
39,39,0.001,195,0.004,0.003
40,40,0.001,200,0.005,0.004
41,41,0.002,205,0.003,0.001
42,42,0.001,210,0.002,0.001
43,43,0.001,215,0.010000000000000002,0.009000000000000001
44,44,0.001,220,0.008,0.006999999999999999
45,45,0.002,225,0.003,0.001
46,46,0.001,230,0.006,0.005
47,47,0.001,235,0.002,0.001
48,48,0.001,240,0.004,0.003
49,49,0.001,245,0.002,0.001
50,50,0.001,250,0.011,0.01
