,Unnamed: 0,Unnamed: 0.1,RTT,Timestamp,New-RTT,Old-RTT
0,0,0,0.001,0,0.003,0.002
1,1,1,0.006,5,0.015000000000000001,0.009000000000000001
2,2,2,0.001,10,0.003,0.002
3,3,3,0.001,15,0.002,0.001
4,4,4,0.001,20,0.007,0.006
5,5,5,0.001,25,0.002,0.001
6,6,6,0.001,30,0.005,0.004
7,7,7,0.001,35,0.002,0.001
8,8,8,0.001,40,0.002,0.001
9,9,9,0.001,45,0.002,0.001
10,10,10,0.001,50,0.012,0.011
11,11,11,0.001,55,0.002,0.001
12,12,12,0.002,60,0.023,0.021
13,13,13,0.001,65,0.002,0.001
14,14,14,0.002,70,0.006,0.004
15,15,15,0.002,75,0.004,0.002
16,16,16,0.001,80,0.002,0.001
17,17,17,0.002,85,0.003,0.001
18,18,18,0.001,90,0.005,0.004
19,19,19,0.002,95,0.005,0.003
20,20,20,0.001,100,0.003,0.002
21,21,21,0.001,105,0.006,0.005
22,22,22,0.001,110,0.016,0.015
23,23,23,0.001,115,0.002,0.001
24,24,24,0.012,120,0.016,0.004
25,25,25,0.001,125,0.002,0.001
26,26,26,0.002,130,0.003,0.001
27,27,27,0.001,135,0.017,0.016
28,28,28,0.001,140,0.012,0.011
29,29,29,0.001,145,0.002,0.001
30,30,30,0.001,150,0.002,0.001
31,31,31,0.001,155,0.010000000000000002,0.009000000000000001
32,32,32,0.001,160,0.004,0.003
33,33,33,0.001,165,0.002,0.001
34,34,34,0.001,170,0.011,0.01
35,35,35,0.001,175,0.002,0.001
36,36,36,0.001,180,0.003,0.002
37,37,37,0.001,185,0.008,0.006999999999999999
38,38,38,0.001,190,0.002,0.001
39,39,39,0.001,195,0.002,0.001
40,40,40,0.001,200,0.002,0.001
41,41,41,0.002,205,0.007,0.005
42,42,42,0.001,210,0.003,0.002
43,43,43,0.001,215,0.005,0.004
44,44,44,0.001,220,0.002,0.001
45,45,45,0.001,225,0.006,0.005
46,46,46,0.001,230,0.003,0.002
47,47,47,0.001,235,0.003,0.002
48,48,48,0.001,240,0.003,0.002
49,49,49,0.001,245,0.002,0.001
50,50,50,0.002,250,0.003,0.001
