,Unnamed: 0,Unnamed: 0.1,RTT,Timestamp,New-RTT,Old-RTT
0,0,0,0.001,0,0.004,0.003
1,1,1,0.001,5,0.003,0.002
2,2,2,0.001,10,0.010000000000000002,0.009000000000000001
3,3,3,0.003,15,0.008,0.005
4,4,4,0.001,20,0.006,0.005
5,5,5,0.001,25,0.031,0.03
6,6,6,0.011,30,0.017,0.006
7,7,7,0.001,35,0.024,0.023
8,8,8,0.004,40,0.024,0.02
9,9,9,0.001,45,0.009000000000000001,0.008
10,10,10,0.006,50,0.014,0.008
11,11,11,0.002,55,0.009000000000000001,0.007
12,12,12,0.001,60,0.009000000000000001,0.008
13,13,13,0.001,65,0.003,0.002
14,14,14,0.003,70,0.013000000000000001,0.01
15,15,15,0.001,75,0.037000000000000005,0.036000000000000004
16,16,16,0.001,80,0.003,0.002
17,17,17,0.001,85,0.004,0.003
18,18,18,0.001,90,0.003,0.002
19,19,19,0.002,95,0.006,0.004
20,20,20,0.001,100,0.003,0.002
21,21,21,0.001,105,0.004,0.003
22,22,22,0.002,110,0.031,0.029
23,23,23,0.001,115,0.003,0.002
24,24,24,0.001,120,0.003,0.002
25,25,25,0.001,125,0.003,0.002
26,26,26,0.001,130,0.003,0.002
27,27,27,0.001,135,0.003,0.002
28,28,28,0.001,140,0.003,0.002
29,29,29,0.001,145,0.003,0.002
30,30,30,0.001,150,0.006,0.005
31,31,31,0.001,155,0.004,0.003
32,32,32,0.002,160,0.004,0.002
33,33,33,0.001,165,0.012,0.011000000000000001
34,34,34,0.001,170,0.004,0.003
35,35,35,0.001,175,0.006,0.005
36,36,36,0.001,180,0.004,0.003
37,37,37,0.001,185,0.004,0.003
38,38,38,0.001,190,0.012,0.011
39,39,39,0.001,195,0.012,0.011
40,40,40,0.002,200,0.005,0.003
