,Unnamed: 0,RTT,Timestamp,New-RTT,Old-RTT
0,0,0.001,0,0.001,0
1,1,0.001,5,0.001,0
2,2,0.001,10,0.001,0
3,3,0.001,15,0.001,0
4,4,0.003,20,0.003,0
5,5,0.013999999999999999,25,0.013999999999999999,0
6,6,0.005,30,0.005,0
7,7,0.02,35,0.02,0
8,8,0.005,40,0.005,0
9,9,0.005,45,0.005,0
10,10,0.004,50,0.004,0
11,11,0.003,55,0.003,0
12,12,0.006999999999999999,60,0.006999999999999999,0
13,13,0.001,65,0.001,0
14,14,0.008,70,0.008,0
15,15,0.001,75,0.001,0
16,16,0.001,80,0.001,0
17,17,0.001,85,0.001,0
18,18,0.001,90,0.001,0
19,19,0.003,95,0.003,0
20,20,0.001,100,0.001,0
21,21,0.002,105,0.002,0
22,22,0.012,110,0.012,0
23,23,0.001,115,0.001,0
24,24,0.001,120,0.001,0
25,25,0.001,125,0.001,0
26,26,0.001,130,0.001,0
27,27,0.001,135,0.001,0
28,28,0.001,140,0.001,0
29,29,0.001,145,0.001,0
30,30,0.004,150,0.004,0
31,31,0.001,155,0.001,0
32,32,0.001,160,0.001,0
33,33,0.009000000000000001,165,0.009000000000000001,0
34,34,0.001,170,0.001,0
35,35,0.001,175,0.001,0
36,36,0.001,180,0.001,0
37,37,0.001,185,0.001,0
38,38,0.01,190,0.01,0
39,39,0.01,195,0.01,0
40,40,0.002,200,0.002,0
